nom_img_B;numech_B;nom_img_T;numech_T;ecart_numech;distance_features
2025_Conforme_1_Cam_B_1_332.jpg;332;2025_Conforme_1_Cam_T_1_331.jpg;331;-1;0.3573
2025_Conforme_1_Cam_B_1_333.jpg;333;2025_Conforme_1_Cam_T_1_317.jpg;317;-16;0.1409
2025_Conforme_1_Cam_B_1_334.jpg;334;2025_Conforme_1_Cam_T_1_357.jpg;357;23;0.0860
2025_Conforme_1_Cam_B_1_335.jpg;335;2025_Conforme_1_Cam_T_1_272.jpg;272;-63;0.3493
2025_Conforme_1_Cam_B_1_339.jpg;339;2025_Conforme_1_Cam_T_1_318.jpg;318;-21;0.1069
2025_Conforme_1_Cam_B_1_340.jpg;340;2025_Conforme_1_Cam_T_1_268.jpg;268;-72;0.2966
2025_Conforme_1_Cam_B_1_342.jpg;342;2025_Conforme_1_Cam_T_1_347.jpg;347;5;0.0869
2025_Conforme_1_Cam_B_1_343.jpg;343;2025_Conforme_1_Cam_T_1_300.jpg;300;-43;0.2196
2025_Conforme_1_Cam_B_1_344.jpg;344;2025_Conforme_1_Cam_T_1_368.jpg;368;24;0.3074
2025_Conforme_1_Cam_B_1_345.jpg;345;2025_Conforme_1_Cam_T_1_288.jpg;288;-57;0.1216
2025_Conforme_1_Cam_B_1_346.jpg;346;2025_Conforme_1_Cam_T_1_329.jpg;329;-17;0.2312
2025_Conforme_1_Cam_B_1_347.jpg;347;2025_Conforme_1_Cam_T_1_307.jpg;307;-40;0.1197
2025_Conforme_1_Cam_B_1_356.jpg;356;2025_Conforme_1_Cam_T_1_297.jpg;297;-59;0.0936
2025_Conforme_1_Cam_B_1_357.jpg;357;2025_Conforme_1_Cam_T_1_313.jpg;313;-44;0.3219
2025_Conforme_1_Cam_B_1_358.jpg;358;2025_Conforme_1_Cam_T_1_328.jpg;328;-30;0.1228
2025_Conforme_1_Cam_B_1_360.jpg;360;2025_Conforme_1_Cam_T_1_342.jpg;342;-18;0.0956
2025_Conforme_1_Cam_B_1_361.jpg;361;2025_Conforme_1_Cam_T_1_343.jpg;343;-18;0.1024
2025_Conforme_1_Cam_B_1_362.jpg;362;2025_Conforme_1_Cam_T_1_291.jpg;291;-71;0.1777
2025_Conforme_1_Cam_B_1_364.jpg;364;2025_Conforme_1_Cam_T_1_341.jpg;341;-23;0.1883
2025_Conforme_1_Cam_B_1_367.jpg;367;2025_Conforme_1_Cam_T_1_310.jpg;310;-57;0.2172
2025_Conforme_1_Cam_B_1_368.jpg;368;2025_Conforme_1_Cam_T_1_352.jpg;352;-16;0.1472
2025_Conforme_1_Cam_B_1_371.jpg;371;2025_Conforme_1_Cam_T_1_314.jpg;314;-57;0.2831
